code,name,date,open,high,low,close,volume,trade_value
042700,한미반도체,20250321,91500,92500,88700,90300,1003828,90743
042700,한미반도체,20250324,89400,89500,87000,87000,426643,37410
042700,한미반도체,20250325,88500,88500,84700,85200,344483,29669
042700,한미반도체,20250326,85200,86700,84700,85000,249655,21313
042700,한미반도체,20250327,82900,85200,79500,79900,702107,56969
042700,한미반도체,20250328,78900,79400,76200,76500,492233,38060
042700,한미반도체,20250331,73100,74000,68000,68200,2451138,169718
042700,한미반도체,20250401,68900,70300,67500,69700,672781,46526
042700,한미반도체,20250402,69800,70200,66900,67000,863173,58467
042700,한미반도체,20250403,63500,67300,63400,67200,477399,31613
042700,한미반도체,20250404,64900,69200,64000,65500,1272733,83865
042700,한미반도체,20250407,61900,62400,60000,60200,983431,59879
042700,한미반도체,20250408,62600,63000,60500,61200,489343,30237
042700,한미반도체,20250409,59600,60700,58200,59500,973664,57509
042700,한미반도체,20250410,68700,69100,63700,65800,1677607,109984
042700,한미반도체,20250411,63700,72300,62200,68700,2876987,194955
042700,한미반도체,20250414,71200,72300,67300,67900,1128610,77772
042700,한미반도체,20250415,68300,69100,67500,67600,561984,38319
042700,한미반도체,20250416,65900,66500,64200,64700,669330,43718
042700,한미반도체,20250417,63500,72300,63500,68000,2138903,147130
042700,한미반도체,20250418,69400,73500,67200,73200,2389382,169931
042700,한미반도체,20250421,76100,77800,73900,75100,1486200,111723
042700,한미반도체,20250422,73000,77000,72000,74900,1423345,106206
042700,한미반도체,20250423,78000,85900,76800,85600,4533237,373837
042700,한미반도체,20250424,88600,88600,83100,83300,2444483,209618
042700,한미반도체,20250425,86500,86700,80500,82500,1602496,133105
042700,한미반도체,20250428,81700,81700,74300,75900,1795012,139801
042700,한미반도체,20250429,76500,79300,75200,77200,1208871,93382
042700,한미반도체,20250430,76600,78600,74600,76100,731746,55944
042700,한미반도체,20250502,75800,77200,75400,76300,526966,40306
042700,한미반도체,20250507,76800,79100,76800,77700,684436,53377
042700,한미반도체,20250508,78900,81400,77500,78500,1491354,118344
042700,한미반도체,20250509,79400,79500,77000,77400,442898,34448
042700,한미반도체,20250512,79000,84900,78800,83000,1993316,163982
042700,한미반도체,20250513,85800,86000,80400,81000,1429499,117304
042700,한미반도체,20250514,82600,84800,81600,83800,1427546,118766
042700,한미반도체,20250515,85000,85100,81400,81900,913822,75917
042700,한미반도체,20250516,82800,94200,82600,91500,3986502,354348
042700,한미반도체,20250519,88700,89200,84400,85700,1988844,171325
042700,한미반도체,20250520,87800,88300,84900,85400,923369,79832
042700,한미반도체,20250521,86100,86200,83500,84200,630075,53392
042700,한미반도체,20250522,82500,83500,81100,81200,689630,56494
042700,한미반도체,20250523,81900,82600,78200,78400,726195,57641
042700,한미반도체,20250526,78600,84400,78600,83800,927215,76416
042700,한미반도체,20250527,82900,83200,81100,82300,491514,40306
042700,한미반도체,20250528,84500,85000,83100,84400,753656,63427
042700,한미반도체,20250529,86800,86900,82700,83300,1044115,87649
042700,한미반도체,20250530,82400,82500,80100,80400,745194,60322
042700,한미반도체,20250602,80300,81300,79800,80000,428944,34453
042700,한미반도체,20250604,82000,83800,81800,82800,798872,66247
042700,한미반도체,20250605,83000,85000,81300,82700,1122713,93756
042700,한미반도체,20250609,84000,84100,82100,83500,689244,57326
042700,한미반도체,20250610,83900,84200,82200,82900,801422,66470
042700,한미반도체,20250611,83500,86600,83000,85800,1722126,146416
042700,한미반도체,20250612,85300,88900,84300,88000,1700786,147783
042700,한미반도체,20250613,90600,90800,84800,86800,1410001,121937
