code,name,date,open,high,low,close,volume,trade_value
000660,SK하이닉스,20250321,213500,219500,212000,215500,5731880,1236597
000660,SK하이닉스,20250324,211500,214500,209500,211500,1611040,341795
000660,SK하이닉스,20250325,214500,215500,208000,208000,2262656,476236
000660,SK하이닉스,20250326,209000,215500,208500,214000,2058540,439677
000660,SK하이닉스,20250327,208000,212000,206500,207000,2287220,476717
000660,SK하이닉스,20250328,203000,204500,198900,199300,2673553,534520
000660,SK하이닉스,20250331,193500,195500,190500,190700,4561715,876622
000660,SK하이닉스,20250401,193600,198500,192000,197000,2317253,452716
000660,SK하이닉스,20250402,198800,201500,197300,197900,2764223,548736
000660,SK하이닉스,20250403,189600,194600,188200,194600,4177747,802394
000660,SK하이닉스,20250404,187900,189600,178400,182200,9182017,1685985
000660,SK하이닉스,20250407,168000,172800,164800,164800,7879050,1328143
000660,SK하이닉스,20250408,172000,173100,168200,169500,4965171,847718
000660,SK하이닉스,20250409,170000,170000,162700,165000,8035679,1325990
000660,SK하이닉스,20250410,189700,189900,180000,183200,7836984,1441489
000660,SK하이닉스,20250411,177800,181800,176100,180800,3223735,576359
000660,SK하이닉스,20250414,182900,184400,178000,180200,3466194,626945
000660,SK하이닉스,20250415,180200,182400,179700,180600,1915455,346807
000660,SK하이닉스,20250416,176500,177500,173500,174000,2933428,513625
000660,SK하이닉스,20250417,172100,175400,171800,175000,2989493,518847
000660,SK하이닉스,20250418,174000,175500,172800,175000,1305152,227191
000660,SK하이닉스,20250421,174800,180000,174500,176600,1877473,333023
000660,SK하이닉스,20250422,175000,175500,173300,173800,2008388,350091
000660,SK하이닉스,20250423,179100,181600,178100,181000,3857373,694204
000660,SK하이닉스,20250424,182800,183400,177600,178300,3162156,567308
000660,SK하이닉스,20250425,182500,184900,182100,184400,3507810,643236
000660,SK하이닉스,20250428,183500,183900,179700,182000,2455710,446487
000660,SK하이닉스,20250429,182000,182900,179100,180800,1866386,337946
000660,SK하이닉스,20250430,179100,180000,176700,177500,2354473,418811
000660,SK하이닉스,20250502,179400,186200,178400,186000,3886874,713078
000660,SK하이닉스,20250507,187700,191500,185900,190800,3830097,726828
000660,SK하이닉스,20250508,196000,196000,189400,190300,5125330,987252
000660,SK하이닉스,20250509,192000,192800,186800,190100,2539822,480996
000660,SK하이닉스,20250512,193600,195200,193500,195000,1624884,316118
000660,SK하이닉스,20250513,200500,201500,197300,198500,3385009,674916
000660,SK하이닉스,20250514,207000,207000,204000,206000,3333511,687064
000660,SK하이닉스,20250515,207500,208000,199500,200500,3178957,646444
000660,SK하이닉스,20250516,206000,206750,203500,204500,2419507,496482
000660,SK하이닉스,20250519,203000,203000,197500,199400,2482673,494757
000660,SK하이닉스,20250520,202500,208000,201500,202000,2820546,575347
000660,SK하이닉스,20250521,204500,205000,199900,200500,1721760,346596
000660,SK하이닉스,20250522,199900,201500,196500,196900,1988587,393046
000660,SK하이닉스,20250523,199900,201500,198700,200000,1538701,307720
000660,SK하이닉스,20250526,200000,203500,196900,203000,1459997,292678
000660,SK하이닉스,20250527,200500,203500,200000,202500,1424916,287661
000660,SK하이닉스,20250528,206500,209500,206000,208000,3161188,657413
000660,SK하이닉스,20250529,214500,214500,207500,212000,3827689,808853
000660,SK하이닉스,20250530,210000,210000,203000,204500,4826628,992246
000660,SK하이닉스,20250602,205000,208500,203000,207500,1775752,367619
000660,SK하이닉스,20250604,218000,223000,216500,217500,5108674,1120799
000660,SK하이닉스,20250605,225500,230000,222000,224500,5768506,1306204
000660,SK하이닉스,20250609,233000,233500,228000,229000,3666084,844188
000660,SK하이닉스,20250610,231000,232500,227500,230500,3718655,857163
000660,SK하이닉스,20250611,236000,241000,235000,240000,4230421,1010946
000660,SK하이닉스,20250612,242500,246500,235000,235500,4994238,1194088
000660,SK하이닉스,20250613,240500,243000,233750,235500,4100610,973619
000660,SK하이닉스,20250616,238000,248500,238000,248000,3760740,919188
000660,SK하이닉스,20250617,253000,260000,248000,249000,5044669,1275681
000660,SK하이닉스,20250618,245500,252000,245000,246500,4081001,1009652
000660,SK하이닉스,20250619,247000,250000,242000,246000,2317796,569943
000660,SK하이닉스,20250620,249000,257000,247500,257000,3597877,916064
000660,SK하이닉스,20250623,252500,263000,248500,259500,3398736,871520
000660,SK하이닉스,20250624,270000,283000,269500,278500,5436312,1510976
000660,SK하이닉스,20250625,289000,291500,284000,286000,5466598,1568978
000660,SK하이닉스,20250626,294500,298500,287000,293000,5894020,1730468
000660,SK하이닉스,20250627,288000,294500,281000,284000,5134863,1469228
000660,SK하이닉스,20250630,288500,294500,286000,292000,4375298,1270955
000660,SK하이닉스,20250701,291000,294500,285500,285500,3687981,1067386
000660,SK하이닉스,20250702,283500,283500,274500,279000,4702056,1307588
000660,SK하이닉스,20250703,281000,284000,277000,278500,3642140,1018229
000660,SK하이닉스,20250704,279500,281500,269000,270500,3654933,997718
000660,SK하이닉스,20250707,266000,272000,264500,271000,2523564,676974
000660,SK하이닉스,20250708,271000,285000,268500,282000,3119395,872611
000660,SK하이닉스,20250709,282500,284000,277500,281000,2626484,737517
000660,SK하이닉스,20250710,284000,297000,283500,297000,4556065,1327687
000660,SK하이닉스,20250711,299500,306500,292000,294500,3732533,1112892
000660,SK하이닉스,20250714,292500,302500,292500,300000,2936976,877791
000660,SK하이닉스,20250715,296000,298500,290000,298500,4196196,1231459
000660,SK하이닉스,20250716,298500,299500,292500,296000,3123297,921107
000660,SK하이닉스,20250717,283500,289500,268000,269500,9328322,2557978
000660,SK하이닉스,20250718,270000,275000,267000,269000,5359504,1444045
000660,SK하이닉스,20250721,267500,274500,266500,272500,2424891,659154
000660,SK하이닉스,20250722,273000,273500,267000,268500,3139858,844337
000660,SK하이닉스,20250723,267500,271000,264500,269000,3116279,835260
000660,SK하이닉스,20250724,277000,279000,269000,269500,3667144,1005676
000660,SK하이닉스,20250725,273000,275000,265500,266000,2171063,584789
000660,SK하이닉스,20250728,261000,265500,258500,262000,2877357,752795
000660,SK하이닉스,20250729,254500,265000,254500,262500,2944177,767127
000660,SK하이닉스,20250730,263000,266000,260500,263500,2482807,653842
